book_key,title,author,author_bio,category,topic,rating,summary,book_pos,is_borrow
KG.GR.00001,深度学习,伊恩·古德费洛,深度学习奠基人之一，《深度学习》合著者。,计算机科学,人工智能,4.8,全面介绍深度学习的数学基础与前沿算法，常被称作花书。,科技库 T-A01架,0
KG.GR.00002,统计学习方法,李航,统计学习与自然语言处理方向学者。,计算机科学,人工智能,4.9,系统介绍监督学习等方法，机器学习经典教材。,科技库 T-A02架,0
KG.GR.00003,算法导论,托马斯·科曼,算法与数据结构领域权威教材作者之一。,计算机科学,算法设计,4.9,系统讲解数据结构与算法设计分析。,科技库 T-A03架,1
KG.GR.00004,神经漫游者,威廉·吉布森,赛博朋克代表作家。,科幻文学,赛博朋克,4.7,黑客与网络空间冒险的开山之作。,文学库 A-02架,1
KG.GR.00005,雪崩,尼尔·斯蒂芬森,美国科幻作家，信息社会主题见长。,科幻文学,赛博朋克,4.6,提出元宇宙与化身等概念。,文学库 A-28架,0
KG.GR.00006,仿生人会梦见电子羊吗,菲利普·迪克,美国科幻大师，探讨真实与身份。,科幻文学,人工智能,4.5,《银翼杀手》原著，哲学意味浓厚。,文学库 A-08架,0
KG.GR.00007,三体,刘慈欣,雨果奖得主，中国科幻代表作家。,科幻文学,硬科幻,4.9,地球文明与三体文明的信息交流与宇宙博弈。,文学库 A-12架,0
KG.GR.00008,球状闪电,刘慈欣,工程师背景科幻作家。,科幻文学,硬科幻,4.6,以球状闪电之谜展开宏大自然观。,文学库 A-36架,0
KG.GR.00009,流浪地球,刘慈欣,短篇扩展为长篇的灾难科幻。,科幻文学,硬科幻,4.5,太阳灾变下人类推动地球离开太阳系。,文学库 A-11架,0
KG.GR.00010,红楼梦,曹雪芹,清代小说家，中国古典小说巅峰之一。,中国文学,古典小说,4.9,贾史王薛四大家族兴衰与儿女情长。,文学库 A-17架,0
KG.GR.00011,西游记,吴承恩,明代小说家，神魔小说经典。,中国文学,古典小说,4.8,唐僧师徒西天取经的神魔历险。,文学库 A-31架,0
KG.GR.00012,水浒传,施耐庵,英雄传奇与侠义主题。,中国文学,古典小说,4.7,梁山好汉聚义与招安悲剧。,文学库 A-02架,0
KG.GR.00013,三国演义,罗贯中,历史演义小说代表作。,中国文学,古典小说,4.8,魏蜀吴三国政治军事斗争。,文学库 A-23架,0
KG.GR.00014,围城,钱钟书,学者型作家，讽刺与幽默见长。,中国文学,现代文学,4.7,抗战时期知识分子婚姻与人生困境。,文学库 A-07架,0
KG.GR.00015,活着,余华,当代作家，冷峻叙事风格。,中国文学,当代文学,4.8,福贵一家在时代洪流中的命运。,文学库 A-34架,0
KG.GR.00016,许三观卖血记,余华,以小人物折射社会变迁。,中国文学,当代文学,4.6,卖血换钱维系家庭的辛酸故事。,文学库 A-34架,0
KG.GR.00017,平凡的世界,路遥,现实主义长篇巨著。,中国文学,当代文学,4.8,陕北农村青年奋斗与爱情。,文学库 A-11架,0
KG.GR.00018,白鹿原,陈忠实,关中乡土史诗。,中国文学,当代文学,4.7,白鹿两大家族半个世纪的恩怨。,文学库 A-02架,0
KG.GR.00019,百年孤独,加西亚·马尔克斯,魔幻现实主义大师，诺奖作家。,外国文学,拉美文学,4.9,布恩迪亚家族七代人的孤独传奇。,文学库 B-25架,0
KG.GR.00020,霍乱时期的爱情,加西亚·马尔克斯,书写爱情与衰老的长河。,外国文学,拉美文学,4.6,跨越半个世纪的等待与爱恋。,文学库 B-27架,0
KG.GR.00021,1984,乔治·奥威尔,英国政治讽刺作家。,外国文学,反乌托邦,4.8,老大哥与思想警察下的极权社会。,文学库 B-29架,0
KG.GR.00022,动物农场,乔治·奥威尔,寓言体政治讽刺。,外国文学,反乌托邦,4.5,农场动物革命后的变质与独裁。,文学库 B-24架,0
KG.GR.00023,傲慢与偏见,简·奥斯汀,英国摄政时期风俗小说。,外国文学,英国文学,4.6,伊丽莎白与达西的偏见与和解。,文学库 B-24架,0
KG.GR.00024,简爱,夏洛蒂·勃朗特,英国维多利亚时期女性成长小说。,外国文学,英国文学,4.5,家庭教师追求尊严与爱情。,文学库 B-09架,0
KG.GR.00025,哈姆雷特,威廉·莎士比亚,文艺复兴时期英国剧作家。,外国文学,戏剧,4.9,王子复仇与存在之思。,文学库 B-04架,0
KG.GR.00026,罪与罚,陀思妥耶夫斯基,俄国心理现实主义大师。,外国文学,俄国文学,4.8,贫困大学生杀人后的良心折磨。,文学库 B-11架,1
KG.GR.00027,战争与和平,列夫·托尔斯泰,俄国史诗巨著。,外国文学,俄国文学,4.9,拿破仑战争背景下贵族命运。,文学库 B-28架,0
KG.GR.00028,挪威的森林,村上春树,日本当代畅销作家。,日本文学,都市情感,4.5,青春、失落与成长的东京物语。,文学库 J-28架,0
